Sale Date,ticketsSold,cash,check,creditCard,misc,total,weekday,avgTkt,7D_avg,14D_avg,30D_avg,60D_avg,90D_avg,7D_tot,14D_tot,30D_tot,60D_tot,90D_tot
2019-09-18,16,65.0,0,0.0,925.0,990.0,Wednesday,61.88,1134.7857142857142,1140.678571428572,1255.1856666666665,1254.3803333333328,1198.4057777777778,7943.5,15969.500000000007,37655.56999999999,75262.81999999996,107856.52
2019-09-19,16,195.0,0,132.5,859.25,1186.75,Thursday,74.17,1151.607142857143,1163.2678571428576,1223.9439999999997,1240.826166666666,1191.7057777777777,8061.25,16285.750000000007,36718.31999999999,74449.56999999996,107253.52
2019-09-20,19,153.75,0,305.0,1210.0,1668.75,Friday,87.83,1216.4285714285713,1189.7142857142862,1226.2689999999998,1251.4219999999993,1190.4696666666666,8515.0,16656.000000000007,36788.06999999999,75085.31999999996,107142.27
2019-09-21,18,415.0,0,165.0,1510.0,2090.0,Saturday,116.11,1382.857142857143,1219.3571428571433,1265.1939999999997,1271.2719999999995,1204.014111111111,9680.0,17071.000000000007,37955.81999999999,76276.31999999996,108361.27
2019-09-22,24,285.0,0,445.0,1677.0,2407.0,Sunday,100.29,1460.0,1330.3928571428576,1298.527333333333,1287.2219999999993,1218.4252222222224,10220.0,18625.500000000007,38955.81999999999,77233.31999999996,109658.27
2019-09-23,13,160.0,0,65.0,490.0,715.0,Monday,55.0,1435.357142857143,1335.1071428571433,1279.6189999999997,1285.1053333333327,1215.5252222222223,10047.5,18691.500000000007,38388.56999999999,77106.31999999996,109397.27
2019-09-24,23,345.1,0,145.0,1073.9,1564.0,Tuesday,68.0,1517.357142857143,1370.3571428571433,1277.2366666666665,1296.6678333333327,1215.564111111111,10621.5,19185.000000000007,38317.09999999999,77800.06999999996,109400.77
2019-09-25,15,37.21,0,0.0,1139.04,1176.25,Wednesday,78.42,1543.9642857142858,1339.3750000000005,1276.3116666666663,1293.4719999999993,1222.2224444444446,10807.75,18751.250000000007,38289.34999999999,77608.31999999996,110000.02
2019-09-26,19,85.0,0,162.5,859.5,1107.0,Thursday,58.26,1532.5714285714287,1342.0892857142862,1274.3116666666663,1289.9303333333328,1226.8780000000002,10728.0,18789.250000000007,38229.34999999999,77395.81999999996,110419.02
2019-09-27,19,70.0,0,200.0,823.75,1093.75,Friday,57.57,1450.4285714285713,1333.428571428572,1275.5783333333331,1292.4928333333328,1224.9752222222223,10153.0,18668.000000000007,38267.34999999999,77549.56999999996,110247.77
2019-09-28,21,0.0,0,260.0,1462.5,1722.5,Saturday,82.02,1397.9285714285713,1390.3928571428576,1302.3283333333331,1304.251166666666,1235.9474444444445,9785.5,19465.500000000007,39069.84999999999,78255.06999999996,111235.27
2019-09-29,15,40.0,0,35.0,1167.0,1242.0,Sunday,82.8,1231.5,1345.7500000000005,1302.4416666666664,1295.2261666666661,1236.4752222222223,8620.5,18840.500000000007,39073.24999999999,77713.56999999996,111282.77
2019-09-30,12,335.0,0,50.0,1090.0,1475.0,Monday,122.92,1340.0714285714287,1387.7142857142862,1308.8583333333331,1310.8094999999994,1248.6974444444445,9380.5,19428.000000000007,39265.74999999999,78648.56999999996,112382.77
2019-10-01,19,91.57,0,0.0,1694.44,1786.01,Tuesday,94.0,1371.787142857143,1444.5721428571433,1303.8419999999999,1321.4429999999993,1264.3086666666666,9602.51,20224.010000000006,39115.259999999995,79286.57999999996,113787.78
2019-10-02,19,200.0,0,95.0,963.25,1258.25,Wednesday,66.22,1383.5014285714285,1463.7328571428575,1296.0836666666664,1318.8388333333326,1273.6225555555554,9684.51,20492.260000000006,38882.509999999995,79130.32999999996,114626.03
2019-10-03,12,65.0,0,0.0,965.0,1030.0,Thursday,85.83,1372.5014285714285,1452.536428571429,1296.850333333333,1310.5138333333327,1271.8114444444445,9607.51,20335.510000000006,38905.509999999995,78630.82999999996,114463.03
2019-10-04,25,320.5,0,1301.5,240.0,1862.0,Friday,74.48,1482.2514285714285,1466.3400000000004,1311.792,1317.7304999999992,1276.678111111111,10375.76,20528.760000000006,39353.759999999995,79063.82999999996,114901.03
2019-10-05,11,10.0,0,765.0,0.0,775.0,Saturday,70.45,1346.8942857142858,1372.411428571429,1308.6086666666665,1308.8304999999993,1261.9892222222222,9428.26,19213.760000000006,39258.259999999995,78529.82999999996,113579.03
